Player,Team,Pos,Tgt,Rec,Yds,Y/R,TD,R/G,Y/G,Ctch%,Y/Tgt,Fmb,-9999
Michael Penix,ATL,QB,0,0,0,,0,0.0,0.0,,,4,PeniMi00
Kenny Pickett,LVR,QB,0,0,0,,0,0.0,0.0,,,1,PickKe00
Dameon Pierce,HOU,RB,1,0,0,,0,0.0,0.0,0.0,0.0,0,PierDa01
Dak Prescott,DAL,QB,0,0,0,,0,0.0,0.0,,,4,PresDa01
Brock Purdy,SFO,QB,0,0,0,,0,0.0,0.0,,,1,PurdBr00
Bernhard Raimann,IND,T,1,0,0,,0,0.0,0.0,0.0,0.0,0,RaimBe00
Craig Reynolds,DET,RB,0,0,0,,0,0.0,0.0,,,0,ReynCr00
Patrick Ricard,BAL,FB,0,0,0,,0,0.0,0.0,,,0,RicaPa00
Aaron Rodgers,PIT,QB,0,0,0,,0,0.0,0.0,,,3,RodgAa00
Mason Rudolph,PIT,QB,0,0,0,,0,0.0,0.0,,,1,RudoMa00
Cooper Rush,BAL,QB,0,0,0,,0,0.0,0.0,,,1,RushCo00
Raheim Sanders,CLE,RB,0,0,0,,0,0.0,0.0,,,0,SandRa00
Shedeur Sanders,CLE,QB,0,0,0,,0,0.0,0.0,,,1,SandSh00
Jacob Saylors,DET,RB,0,0,0,,0,0.0,0.0,,,0,SaylJa00
Tyler Shough,NOR,QB,0,0,0,,0,0.0,0.0,,,2,ShouTy00
Geno Smith,LVR,QB,0,0,0,,0,0.0,0.0,,,4,SmitGe00
Matthew Stafford,LAR,QB,0,0,0,,0,0.0,0.0,,,6,StafMa00
Jarrett Stidham,DEN,QB,0,0,0,,0,0.0,0.0,,,0,StidJa00
C.J. Stroud,HOU,QB,0,0,0,,0,0.0,0.0,,,0,StroCJ00
Grant Stuard,DET,LB,0,0,0,,0,0.0,0.0,,,0,StuaGr00
Tua Tagovailoa,MIA,QB,0,0,0,,0,0.0,0.0,,,7,TagoTu00
Tyrod Taylor,NYJ,QB,0,0,0,,0,0.0,0.0,,,1,TaylTy00
Rodney Thomas II,IND,S,0,0,0,,0,0.0,0.0,,,0,ThomRo07
Mitchell Trubisky,BUF,QB,0,0,0,,0,0.0,0.0,,,0,TrubMi00
Malik Turner,SFO,WR,1,0,0,,0,0.0,0.0,0.0,0.0,0,TurnMa00
Sione Vaki,DET,RB,0,0,0,,0,0.0,0.0,,,0,VakiSi00
Cam Ward,TEN,QB,0,0,0,,0,0.0,0.0,,,9,WardCa00
Carson Wentz,MIN,QB,0,0,0,,0,0.0,0.0,,,3,WentCa00
Jack Westover,NWE,FB,1,0,0,,0,0.0,0.0,0.0,0.0,0,WestJa01
Josh Williams,TAM,RB,0,0,0,,0,0.0,0.0,,,0,WillJo011
Brayden Willis,SFO,TE,1,0,0,,0,0.0,0.0,0.0,0.0,0,WillBr06
Malik Willis,GNB,QB,0,0,0,,0,0.0,0.0,,,0,WillMa12
Russell Wilson,NYG,QB,0,0,0,,0,0.0,0.0,,,3,WilsRu00
Zach Wilson,MIA,QB,0,0,0,,0,0.0,0.0,,,0,WilsZa00
Jacardia Wright,SEA,RB,0,0,0,,0,0.0,0.0,,,0,WrigJa05
Owen Wright,TAM,RB,0,0,0,,0,0.0,0.0,,,0,WrigOw00
Luke Wypler,CLE,C,1,0,0,,0,0.0,0.0,0.0,0.0,0,WyplLu00
Bryce Young,CAR,QB,0,0,0,,0,0.0,0.0,,,6,YounBr01
